sample_idx,note_idx,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_summ,voice_note,n_invalid,pdsqi9_likert_mean
9,0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
9,1,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
9,2,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
9,3,1.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.0
9,4,1.0,3.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.571
10,0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
10,1,1.0,3.0,1.0,3.0,5.0,5.0,3.0,1.0,4.0,0.0,0.0,0,3.0
10,2,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
10,3,1.0,2.0,1.0,3.0,4.0,5.0,3.0,1.0,4.0,0.0,0.0,0,2.714
10,4,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
11,0,1.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.143
11,1,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
11,2,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
11,3,1.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,4.0
11,4,1.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,4.0
12,0,1.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.143
12,1,1.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,4.0
12,2,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
12,3,1.0,4.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.714
12,4,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
13,0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
13,1,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
13,2,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.143
13,3,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
13,4,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
14,0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.143
14,1,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.143
14,2,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
14,3,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
14,4,1.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.143
15,0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.286
15,1,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.143
15,2,1.0,3.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.571
15,3,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
15,4,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
16,0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
16,1,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
16,2,1.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.143
16,3,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
16,4,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
17,0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.143
17,1,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
17,2,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
17,3,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
17,4,1.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.143
18,0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
18,1,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
18,2,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
18,3,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
18,4,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.143
19,0,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
19,1,1.0,2.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,0.0,0.0,0,2.571
19,2,1.0,2.0,1.0,4.0,5.0,5.0,3.0,1.0,4.0,0.0,0.0,0,3.0
19,3,1.0,2.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.571
19,4,1.0,2.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.571
20,0,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
20,1,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
20,2,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
20,3,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
20,4,1.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.143
21,0,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
21,1,1.0,2.0,1.0,2.0,4.0,4.0,3.0,1.0,4.0,0.0,0.0,0,2.429
21,2,1.0,2.0,1.0,3.0,5.0,5.0,3.0,1.0,4.0,0.0,0.0,0,2.857
21,3,1.0,2.0,1.0,3.0,5.0,5.0,3.0,1.0,4.0,0.0,0.0,0,2.857
21,4,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
22,0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
22,1,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,4.0
22,2,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
22,3,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
22,4,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
23,0,1.0,2.0,1.0,2.0,4.0,5.0,4.0,1.0,4.0,0.0,0.0,0,2.714
23,1,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
23,2,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
23,3,1.0,2.0,1.0,2.0,4.0,5.0,3.0,1.0,4.0,0.0,0.0,0,2.571
23,4,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
24,0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,4.0
24,1,1.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,4.0
24,2,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
24,3,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.143
24,4,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.143
25,0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
25,1,1.0,2.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.571
25,2,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
25,3,1.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,3.714
25,4,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
26,0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
26,1,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
26,2,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
26,3,1.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,4.0
26,4,1.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,4.0
27,0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,4.0
27,1,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
27,2,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
27,3,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
27,4,1.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.143
28,0,1.0,2.0,2.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.286
28,1,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
28,2,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
28,3,1.0,3.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.571
28,4,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
29,0,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
29,1,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
29,2,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
29,3,1.0,2.0,1.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.143
29,4,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
30,0,1.0,3.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.571
30,1,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
30,2,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
30,3,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
30,4,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
31,0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
31,1,1.0,2.0,1.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.143
31,2,1.0,2.0,1.0,3.0,5.0,5.0,3.0,1.0,4.0,0.0,0.0,0,2.857
31,3,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
31,4,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
32,0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,4.0
32,1,1.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.143
32,2,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
32,3,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
32,4,1.0,4.0,1.0,4.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,3.571
33,0,1.0,4.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.714
33,1,1.0,2.0,3.0,4.0,5.0,5.0,3.0,1.0,4.0,0.0,0.0,0,3.286
33,2,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
33,3,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
33,4,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
34,0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
34,1,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,4.0
34,2,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
34,3,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
34,4,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
35,0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
35,1,1.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.143
35,2,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
35,3,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
35,4,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
36,0,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
36,1,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
36,2,1.0,4.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.714
36,3,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
36,4,1.0,3.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.571
37,0,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
37,1,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
37,2,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
37,3,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
37,4,1.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.143
38,0,1.0,2.0,1.0,2.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,2.857
38,1,1.0,4.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.714
38,2,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
38,3,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
38,4,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
39,0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
39,1,1.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.143
39,2,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
39,3,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
39,4,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
40,0,1.0,3.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.571
40,1,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
40,2,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
40,3,1.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,4.0
40,4,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
41,0,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
41,1,1.0,2.0,2.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.286
41,2,1.0,2.0,2.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.286
41,3,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
41,4,1.0,3.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.571
42,0,1.0,4.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.714
42,1,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
42,2,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
42,3,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
42,4,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
43,0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
43,1,1.0,2.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.571
43,2,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
43,3,1.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,3.714
43,4,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.143
